GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_por,uss_16_dem_str,uss_18_rep_ren,uss_18_dem_bro,gov_18_rep_dew,gov_18_dem_cor,atg_18_rep_yos,atg_18_dem_det,sos_18_rep_lar,sos_18_dem_cly,pre_20_rep_tru,pre_20_dem_bid,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
39001001AAA,OH,Adams County,001AAA,1380,7,1321,2,0,0,0,0,50,1062,7,1027,1,0,0,0,0,27,534,96.5,533.9,80.4,407.6,129.5,405.6,119.4,410.6,116.4,419.6,104.4,607.3,118.4,534,88.4,410.9,117.4,607.3,118.4,474.1,109.3
39001001AAB,OH,Adams County,001AAB,1097,2,1063,1,4,0,0,0,27,862,0,841,0,4,0,0,0,17,390,95,358,93,254,107,254,98,264,90,263,85,442,90,374,94,258.8,95,442,90,317.9,94
39001001AAD,OH,Adams County,001AAD,1097,12,1016,3,9,0,0,0,57,867,10,810,3,9,0,0,0,35,406,93.5,391.1,84.6,316.4,103.5,324.4,80.6,329.4,75.6,327.4,78.6,457.7,79.6,398.5,89.1,324.4,84.6,457.7,79.6,364.6,85.2
39001001AAE,OH,Adams County,001AAE,552,1,527,1,5,1,0,0,17,409,0,394,0,5,1,0,0,9,175.9,76,168.9,69,97.9,69,107.9,60,106.9,54,104.9,57,229.9,54,172.4,72.5,104.4,60,229.9,54,141.8,62.7
39001001AAG,OH,Adams County,001AAG,898,1,829,1,7,2,0,13,45,724,1,672,0,7,2,0,10,32,258,73,239,86,165,82,166,69,174,65,173,66,266,60,248.5,79.5,169.5,70.5,266,60,205.9,71.6
39001001AAI,OH,Adams County,001AAI,1986,12,1908,6,3,2,0,7,48,1482,2,1426,6,3,2,0,7,36,684,168,680,154,492,205,521,160,514,164,514,166,787,171,682,161,510.2,173.8,787,171,598.9,169.7
39001001AAK,OH,Adams County,001AAK,1893,26,1789,6,6,6,0,1,59,1387,16,1320,3,6,6,0,0,36,413,192.5,426.7,171.8,249.6,173.1,263.6,144.3,265.5,145.3,259.6,145.2,476.9,149.1,419.9,182.1,259.6,152,476.9,149.1,336.4,160.2
39001001AAN,OH,Adams County,001AAN,1987,18,1866,13,8,1,0,4,77,1502,9,1417,10,6,1,0,4,55,643.7,129.6,628.9,128.6,493.8,162.7,515.3,140.1,510.5,124.4,515.4,129.2,743.2,119.7,636.3,129.1,508.8,139.1,743.2,119.7,578.7,133.5
39001001AAP,OH,Adams County,001AAP,1774,17,1676,8,4,4,0,1,64,1340,9,1272,5,4,4,0,0,46,490.3,165.2,483.4,161.2,315.7,179.2,321.7,161.3,327.6,149.4,322.6,152.4,521.8,145.4,486.9,163.2,321.9,160.6,521.8,145.4,397.6,159.1
39001001AAR,OH,Adams County,001AAR,624,7,586,0,3,2,0,0,26,510,4,489,0,1,2,0,0,14,209.3,71.9,206.2,62.9,136.1,79.1,156.2,57.9,148.2,64.9,144.2,65.9,235.9,60.9,207.8,67.4,146.2,67,235.9,60.9,176.6,66.2
39001001AAS,OH,Adams County,001AAS,1352,9,1299,4,6,0,0,1,33,933,3,893,4,5,0,0,1,27,359.4,82,350.9,82.9,251.8,85,252.5,82.2,256.3,75.9,261.4,68.9,401.5,93.6,355.2,82.4,255.5,78,401.5,93.6,304.8,81.5
39001001AAT,OH,Adams County,001AAT,1293,7,1229,2,1,1,0,2,51,985,6,941,2,1,1,0,0,34,475,91.2,454.8,86.1,344.3,102.8,353.1,87.5,351.5,85.7,356.5,80.7,544.5,90.3,464.9,88.6,351.3,89.2,544.5,90.3,411.4,89.2
39001001AAU,OH,Adams County,001AAU,981,10,929,1,0,2,0,0,39,697,4,673,1,0,2,0,0,17,256.6,58.2,252.2,47.6,179.9,75,187.9,60.9,192.3,52.9,192.3,52.9,297.2,60,254.4,52.9,188.1,60.4,297.2,60,222.6,58.2
39001001AAW,OH,Adams County,001AAW,1733,10,1670,6,2,1,1,0,43,1376,6,1330,5,1,1,1,0,32,580.8,155.7,577.1,160.3,370.4,190.9,399.2,160.9,390.4,166.8,388.3,160.9,681.4,150.1,579,158,387.1,169.9,681.4,150.1,483.9,163.6
39001001AAY,OH,Adams County,001AAY,1187,5,1143,2,1,1,0,0,35,895,4,867,1,1,1,0,0,21,396,110.2,387.1,111.2,272,128,288.8,105.2,283.9,109.2,284.9,97.3,444.7,111.2,391.6,110.7,282.4,109.9,444.7,111.2,336.8,110.3
39001001AAZ,OH,Adams County,001AAZ,1098,7,1049,8,4,4,0,1,25,860,4,829,6,3,4,0,1,13,389.9,107.7,388.9,92.5,256.4,116.6,287.6,86.3,274.6,94.3,273.6,96.4,456.6,102.6,389.4,100.1,273.1,98.4,456.6,102.6,332.5,99.5
39001001ABA,OH,Adams County,001ABA,1435,12,1383,5,3,1,0,0,31,1103,6,1065,5,2,1,0,0,24,350,164,353,150,246,182,268,145,271,154,258,157,417,130,351.5,157,260.8,159.5,417,130,309,154.6
39001001ABC,OH,Adams County,001ABC,1569,21,1508,9,5,3,0,0,23,1270,12,1224,9,4,3,0,0,18,340.1,148.3,340.1,131.5,215.6,141.4,233.3,115.7,228.4,117.7,227.4,119.6,401.4,143.4,340.1,139.9,226.2,123.6,401.4,143.4,283.8,131.1
39001001ABE,OH,Adams County,001ABE,1351,9,1290,1,2,1,0,0,48,992,2,949,1,1,1,0,0,38,497.9,76.8,474.7,81.5,351.5,113.3,371.8,84.9,378.9,71.6,368.9,77.6,578.1,75.8,486.3,79.1,367.8,86.8,578.1,75.8,431.7,83.1
39001001ABG,OH,Adams County,001ABG,1203,12,1156,4,1,1,0,3,26,897,7,869,2,1,1,0,2,15,451.1,96.2,437.5,86.5,342.2,113.8,356.8,101.1,344.2,97.2,344.2,104,512.4,97.2,444.3,91.4,346.9,104,512.4,97.2,398.3,99.4
39001001ABH,OH,Adams County,001ABH,987,12,948,1,0,6,0,0,20,743,6,721,1,0,3,0,0,12,357.9,74.8,356.5,59.5,241.8,96.2,267.2,63.9,249.8,72.8,255.8,73,367.6,53.8,357.2,67.1,253.6,76.5,367.6,53.8,299.5,70.6
39003002AAA,OH,Allen County,002AAA,1198,70,1071,4,5,0,0,3,45,902,45,821,2,5,0,0,1,28,383.4,123.5,384.4,105.6,259.9,149.4,294.8,106.6,293.8,114.5,291.8,111.5,421.3,128.5,383.9,114.5,285.1,120.5,421.3,128.5,332.8,119.9
39003002AAC,OH,Allen County,002AAC,863,20,825,3,1,0,0,1,13,684,19,653,1,0,0,0,1,10,347.7,103.5,368.4,77,260.4,118.6,296,79.9,291.2,90.7,288.4,88.6,400,118.3,358,90.2,284,94.4,400,118.3,321.7,96.6
39003002AAE,OH,Allen County,002AAE,1211,100,1034,16,2,7,0,2,50,963,62,851,13,2,5,0,0,30,351.2,119.2,361.3,103.2,206.9,133.3,230,96.2,231,100.2,231.1,96.2,401.4,135.3,356.3,111.2,224.8,106.5,401.4,135.3,287.6,112
39003002AAG,OH,Allen County,002AAG,663,37,597,6,0,0,0,3,20,494,20,459,1,0,0,0,3,11,167,38,162,43,91,63,109,39,105,48,108,40,180,47,164.5,40.5,103.2,47.5,180,47,131.7,45.4
39003002AAH,OH,Allen County,002AAH,3240,138,1872,1030,16,8,2,8,166,2745,106,1618,915,13,8,2,6,77,274.6,235.9,280,205.3,145.4,210.2,171.1,169.7,181.1,170.7,170.4,171.2,269.2,213.3,277.3,220.6,167,180.4,269.2,213.3,213.1,196.6
39003002AAJ,OH,Allen County,002AAJ,1540,75,1093,226,4,10,0,17,115,1123,38,862,139,4,10,0,5,65,322.3,195.5,340,163.1,183.7,208.3,216.2,154.3,222.1,171,225,154.3,356.7,203.4,331.1,179.3,211.7,171.9,356.7,203.4,266.5,178.5
39003002AAK,OH,Allen County,002AAK,1511,70,931,339,7,1,0,16,147,1046,32,732,222,5,0,0,7,48,204,202,223,167,102,159,120,132,121,138,117,133,195,176,213.5,184.5,115,140.5,195,176,154.6,158.1
39003002AAO,OH,Allen County,002AAO,1938,68,1022,636,5,44,0,11,152,1328,42,797,391,3,38,0,5,52,370.4,290.7,388.9,256.2,248.7,279.1,284.4,227.2,292.2,228.1,287,225.9,392.2,312.6,379.7,273.4,278.1,240.1,392.2,312.6,323.4,260
39003002AAP,OH,Allen County,002AAP,1689,66,1129,337,3,33,0,15,106,1302,37,918,253,2,27,0,8,57,354.5,240.8,377.9,199.3,234.5,263.4,287.7,198.4,285.9,215.6,293.1,195.7,362.6,249.8,366.2,220.1,275.3,218.3,362.6,249.8,313.7,223.3
39003002AAQ,OH,Allen County,002AAQ,1698,78,1133,287,0,12,0,36,152,1233,41,898,200,0,10,0,11,73,385.9,247.5,410.9,210.4,230.6,251.5,278.6,193.4,275.6,200.4,279.6,183.4,377,282.5,398.4,229,266.1,207.2,377,282.5,319.7,224.2
39003002AAW,OH,Allen County,002AAW,1695,94,840,605,5,3,0,19,129,1183,60,649,415,5,0,0,6,48,163,269,182,212,116,193,131,162,132,171,127,171,168,229,172.5,240.5,126.5,174.2,168,229,145.6,201
39003002AAX,OH,Allen County,002AAX,1402,86,801,389,6,6,0,2,112,1093,51,686,292,6,4,0,1,53,111,199,134,149,72,148,88,121,78,142,82,131,146,199,122.5,174,80,135.5,146,199,101.6,155.6
39003002AAY,OH,Allen County,002AAY,1511,55,1088,251,3,0,0,8,106,1128,29,859,179,3,0,0,6,52,247.8,196.5,269.9,155.3,147.6,171.7,172.8,135.2,169.9,144.4,177.9,135.2,274.1,193.6,258.8,175.9,167.1,146.6,274.1,193.6,208.6,161.7
39003002ABE,OH,Allen County,002ABE,1157,38,890,129,4,7,0,4,85,927,22,761,95,4,3,0,2,40,399,253,464,195,307,267,351,210,359,208,353,205,407,275,431.5,224,342.5,222.5,407,275,377.1,230.4
39003002ABF,OH,Allen County,002ABF,1360,69,748,405,3,2,0,5,128,998,40,599,283,2,2,0,3,69,177,261,194,214,116,216,139,186,130,201,133,199,199,267,185.5,237.5,129.5,200.5,199,267,155.4,220.6
39003002ABH,OH,Allen County,002ABH,1117,52,793,194,1,13,0,1,63,859,39,647,133,0,8,0,1,31,261.6,157.1,283.8,129.4,184,170.1,213.5,138.6,212.6,139.6,209.8,131.2,294.9,201.5,272.7,143.2,205,144.9,294.9,201.5,237.2,152.5
39003002ABI,OH,Allen County,002ABI,1441,65,1084,199,2,7,2,11,71,1065,32,841,142,1,5,2,10,32,351,294,398,254,243,321,276,271,287,274,287,258,376,332,374.5,274,273.2,281,376,332,316.9,286.3
